sales_agent,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,close_value_per_employee,close_value_per_revenue
Violet Mclelland,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,entertainment,1989.0,3838.39,8274.0,United States,0.0,0.0
Elease Gluck,Cheers,Won,2016-11-11,2017-03-05,58.0,entertainment,1993.0,4269.9,6472.0,United States,0.00896168108776267,0.013583456287032484
Maureen Marcano,Labdrill,Won,2016-11-11,2017-03-14,4899.0,medical,1985.0,2741.37,9226.0,United States,0.5309993496639931,1.7870626730430406
Rosie Papadopoulos,Zotware,Lost,2016-11-11,2017-03-01,0.0,software,1979.0,4478.47,13809.0,United States,0.0,0.0
Versie Hillebrand,dambase,Won,2016-11-11,2017-03-03,67.0,marketing,1995.0,2173.98,2928.0,United States,0.022882513661202187,0.030819050773236184
James Ascencio,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,finance,1993.0,7537.24,20293.0,United States,0.21376829448578327,0.5755422409263868
Kary Hendrixson,Fasehatice,Won,2016-11-12,2017-03-19,578.0,retail,1990.0,4968.91,7523.0,United States,0.07683105144224378,0.11632329826863437
Reed Clapper,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,technolgy,1996.0,1100.04,2822.0,United States,0.19702338766832034,0.5054361659576015
Rosalina Dieter,Green-Plus,Won,2016-11-12,2017-03-03,635.0,services,2003.0,692.19,1922.0,United States,0.3303850156087409,0.9173781765122292
Wilburn Farren,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,medical,1996.0,439.21,792.0,United States,3.8446969696969697,6.932902256323855
Garret Kinder,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,marketing,1984.0,3027.46,9516.0,Jordan,0.12957124842370743,0.4072721026867407
Versie Hillebrand,Zumgoity,Won,2016-11-13,2017-03-09,60.0,medical,1984.0,441.08,1210.0,United States,0.049586776859504134,0.13602974517094404
Anna Snelling,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,telecommunications,2007.0,86.68,187.0,United States,0.0,0.0
Darcel Schlecht,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,finance,1987.0,1698.2,3798.0,United States,0.0,0.0
Darcel Schlecht,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,marketing,1985.0,375.43,1190.0,United States,0.9831932773109243,3.1164264976160667
Marty Freudenburg,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,retail,2007.0,894.33,1635.0,Italy,0.710703363914373,1.2992966801963481
Darcel Schlecht,Conecom,Won,2016-11-16,2017-03-14,3725.0,technolgy,2005.0,1520.66,1806.0,United States,2.0625692137320044,2.4495942551260637
Kary Hendrixson,Golddex,Won,2016-11-16,2017-03-31,559.0,finance,2008.0,52.5,165.0,United States,3.3878787878787877,10.647619047619047
Rosalina Dieter,Plexzap,Lost,2016-11-16,2017-03-11,0.0,retail,2001.0,2437.85,4874.0,United States,0.0,0.0
Darcel Schlecht,Rundofase,Lost,2016-11-17,2017-03-21,0.0,technolgy,1983.0,1008.06,1238.0,United States,0.0,0.0
James Ascencio,Sonron,Won,2016-11-17,2017-03-05,4667.0,telecommunications,1999.0,1699.85,5108.0,United States,0.913664839467502,2.7455363708562524
Marty Freudenburg,Finhigh,Won,2016-11-17,2017-03-17,903.0,finance,2006.0,1102.43,1759.0,United States,0.5133598635588402,0.8190996253730395
Maureen Marcano,Finjob,Won,2016-11-17,2017-03-13,1180.0,employment,1988.0,2059.9,3644.0,United States,0.3238199780461032,0.5728433419098015
Niesha Huffines,Ron-tech,Won,2016-11-17,2017-03-05,487.0,medical,1992.0,3922.42,6837.0,United States,0.07123007166886061,0.1241580452883679
Lajuana Vencill,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,finance,1987.0,1698.2,3798.0,United States,0.8372827804107424,1.8725709574843952
Darcel Schlecht,Funholding,Lost,2016-11-19,2017-03-17,0.0,finance,1991.0,2819.5,7227.0,United States,0.0,0.0
Darcel Schlecht,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,telecommunications,2007.0,86.68,187.0,United States,19.053475935828878,41.10521458237194
Boris Faz,Opentech,Won,2016-11-20,2017-03-23,4704.0,finance,1994.0,355.23,853.0,United States,5.514654161781946,13.242124820538805
Donn Cantrell,Silis,Won,2016-11-20,2017-03-14,5585.0,medical,1994.0,2818.38,6290.0,United States,0.8879173290937997,1.9816348398725507
Elease Gluck,Zoomit,Won,2016-11-20,2017-03-09,25897.0,entertainment,1992.0,324.19,978.0,United States,26.47955010224949,79.8821678645239
Kami Bicknell,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,marketing,2000.0,2952.73,5107.0,United States,0.23634227530840024,0.40877425297944614
Lajuana Vencill,Cancity,Lost,2016-11-20,2017-03-08,0.0,retail,2001.0,718.62,2448.0,United States,0.0,0.0
Lajuana Vencill,Rangreen,Won,2016-11-20,2017-03-04,559.0,technolgy,1987.0,2938.67,8775.0,Panama,0.0637037037037037,0.19022210727982386
Maureen Marcano,Green-Plus,Engaging,2016-11-20,,0.0,services,2003.0,692.19,1922.0,United States,0.0,0.0
Niesha Huffines,dambase,Won,2016-11-20,2017-03-09,1033.0,marketing,1995.0,2173.98,2928.0,United States,0.35280054644808745,0.47516536490676087
Donn Cantrell,Kan-code,Won,2016-11-21,2017-03-21,462.0,software,1982.0,11698.03,34288.0,United States,0.013474101726551562,0.03949382930288262
Hayden Neloms,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,services,1987.0,405.59,1179.0,Brazil,0.0,0.0
Kary Hendrixson,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,employment,1983.0,2871.35,9561.0,United States,0.5793327057839138,1.9290577602869732
Lajuana Vencill,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,medical,1992.0,3922.42,6837.0,United States,0.5225976305397104,0.9109172398672248
Marty Freudenburg,Conecom,Won,2016-11-21,2017-03-01,4926.0,technolgy,2005.0,1520.66,1806.0,United States,2.727574750830565,3.239382899530467
Zane Levy,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,marketing,2008.0,894.37,1593.0,Poland,0.0,0.0
Corliss Cosme,Bioplex,Won,2016-11-22,2017-03-04,62.0,medical,1991.0,326.82,1016.0,United States,0.0610236220472441,0.18970687228443792
Darcel Schlecht,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,telecommunications,2007.0,86.68,187.0,United States,23.310160427807485,50.28841716658975
Kami Bicknell,Plusstrip,Won,2016-11-22,2017-03-31,566.0,entertainment,2002.0,349.81,315.0,United States,1.7968253968253969,1.6180212115148223
Marty Freudenburg,Toughzap,Won,2016-11-22,2017-03-03,508.0,retail,1995.0,332.43,799.0,United States,0.6357947434292867,1.5281412628222482
Rosie Papadopoulos,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,finance,1993.0,646.1,883.0,United States,0.0,0.0
Versie Hillebrand,Codehow,Won,2016-11-22,2017-03-11,51.0,software,1998.0,2714.9,2641.0,United States,0.019310867095797046,0.01878522229179712
Vicki Laflamme,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,software,2013.0,98.79,96.0,United States,51.03125,49.59003947767992
Corliss Cosme,Cheers,Engaging,2016-11-23,,0.0,entertainment,1993.0,4269.9,6472.0,United States,0.0,0.0
Corliss Cosme,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,employment,1997.0,882.12,2769.0,United States,2.0910075839653306,6.563732825465923
Donn Cantrell,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,retail,2004.0,702.72,1831.0,United States,0.0,0.0
Gladys Colclough,Codehow,Won,2016-11-23,2017-03-03,4438.0,software,1998.0,2714.9,2641.0,United States,1.6804240817872018,1.6346826770783454
Gladys Colclough,Finhigh,Won,2016-11-23,2017-03-17,2972.0,finance,2006.0,1102.43,1759.0,United States,1.6895963615690734,2.6958627758678553
Markita Hansen,Lexiqvolax,Engaging,2016-11-23,,0.0,medical,2004.0,1618.89,3889.0,United States,0.0,0.0
Markita Hansen,Y-corporation,Won,2016-11-23,2017-03-01,523.0,employment,1983.0,2871.35,9561.0,United States,0.054701391067879926,0.1821442875302558
Anna Snelling,Statholdings,Won,2016-11-24,2017-03-25,3647.0,employment,1997.0,291.27,586.0,United States,6.223549488054608,12.521028598894498
Cassey Cress,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,finance,1998.0,2022.14,5113.0,United States,0.8214355564247995,2.077007526679656
Daniell Hammack,J-Texon,Engaging,2016-11-24,,0.0,retail,1989.0,1388.67,3583.0,United States,0.0,0.0
Kami Bicknell,Bubba Gump,Engaging,2016-11-24,,0.0,software,2002.0,987.39,2253.0,United States,0.0,0.0
Kami Bicknell,Faxquote,Won,2016-11-24,2017-03-28,1059.0,telecommunications,1995.0,1825.82,5595.0,United States,0.18927613941018767,0.5800133638584307
Marty Freudenburg,Codehow,Lost,2016-11-24,2017-03-05,0.0,software,1998.0,2714.9,2641.0,United States,0.0,0.0
Versie Hillebrand,Dontechi,Won,2016-11-24,2017-03-02,57.0,software,1982.0,4618.0,10083.0,United States,0.005653079440642666,0.01234300563014292
Vicki Laflamme,Konex,Won,2016-11-24,2017-03-27,3671.0,technolgy,1980.0,7708.38,13756.0,United States,0.2668653678394882,0.4762349546856797
Anna Snelling,Treequote,Won,2016-11-25,2017-03-01,58.0,telecommunications,1988.0,5266.09,8595.0,United States,0.006748109365910413,0.011013864176267402
Cecily Lampkin,Treequote,Won,2016-11-25,2017-03-06,3956.0,telecommunications,1988.0,5266.09,8595.0,United States,0.4602675974403723,0.751221494505411
Corliss Cosme,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,medical,1999.0,251.41,495.0,United States,12.048484848484849,23.722206753907958
Corliss Cosme,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,medical,1999.0,251.41,495.0,United States,9.232323232323232,18.17747901833658
Darcel Schlecht,Domzoom,Won,2016-11-25,2017-03-27,49.0,entertainment,1998.0,217.87,551.0,United States,0.08892921960072596,0.22490475971909854
Violet Mclelland,Donquadtech,Won,2016-11-25,2017-03-06,65.0,technolgy,1992.0,1712.68,3194.0,United States,0.020350657482780213,0.03795221524160964
Anna Snelling,Domzoom,Lost,2016-11-26,2017-03-27,0.0,entertainment,1998.0,217.87,551.0,United States,0.0,0.0
Darcel Schlecht,Finhigh,Won,2016-11-26,2017-03-08,4739.0,finance,2006.0,1102.43,1759.0,United States,2.694144400227402,4.298685630833703
Niesha Huffines,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,technolgy,2000.0,1223.72,2497.0,Norway,0.43251902282739285,0.88255483280489
Reed Clapper,Plussunin,Won,2016-11-26,2017-03-12,57.0,retail,2003.0,1419.98,4018.0,United States,0.014186162269785963,0.0401414104424006
Garret Kinder,Konex,Won,2016-11-27,2017-03-16,469.0,technolgy,1980.0,7708.38,13756.0,United States,0.03409421343413783,0.060842874897189814
Kary Hendrixson,Condax,Won,2016-11-27,2017-03-03,532.0,medical,2017.0,4.54,9.0,United States,59.111111111111114,117.1806167400881
Markita Hansen,Opentech,Engaging,2016-11-27,,0.0,finance,1994.0,355.23,853.0,United States,0.0,0.0
Rosalina Dieter,Konex,Won,2016-11-27,2017-03-26,538.0,technolgy,1980.0,7708.38,13756.0,United States,0.039110206455364935,0.0697941720569043
Rosie Papadopoulos,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,entertainment,1989.0,665.06,1095.0,United States,4.4100456621004565,7.260999007608337
Zane Levy,Doncon,Won,2016-11-27,2017-03-11,5370.0,technolgy,2010.0,587.72,1501.0,United States,3.5776149233844103,9.137004015517594
Zane Levy,Hatfan,Won,2016-11-27,2017-03-21,6499.0,services,1982.0,792.46,1299.0,United States,5.003079291762894,8.201044847689474
Darcel Schlecht,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,retail,2007.0,894.33,1635.0,Italy,0.710091743119266,1.2981785247056454
Kary Hendrixson,Scotfind,Won,2016-11-28,2017-03-26,576.0,software,1996.0,6354.87,16780.0,United States,0.03432657926102503,0.09063914761434931
Maureen Marcano,Hatfan,Won,2016-11-28,2017-03-19,979.0,services,1982.0,792.46,1299.0,United States,0.7536566589684373,1.2353935845342352
Versie Hillebrand,Stanredtax,Won,2016-11-28,2017-03-07,43.0,finance,1987.0,1698.2,3798.0,United States,0.011321748288572932,0.025320928041455658
Gladys Colclough,Scottech,Won,2016-11-29,2017-03-07,57.0,marketing,2012.0,45.39,100.0,United States,0.57,1.255783212161269
Lajuana Vencill,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,medical,1992.0,3922.42,6837.0,United States,0.0,0.0
Lajuana Vencill,Funholding,Won,2016-11-29,2017-03-12,948.0,finance,1991.0,2819.5,7227.0,United States,0.1311747613117476,0.33622982798368506
Wilburn Farren,Plussunin,Won,2016-11-29,2017-03-10,3012.0,retail,2003.0,1419.98,4018.0,United States,0.7496266799402688,2.121156636008958
Cassey Cress,Zotware,Won,2016-11-30,2017-03-15,3665.0,software,1979.0,4478.47,13809.0,United States,0.2654066188717503,0.8183598416423465
Violet Mclelland,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,retail,1990.0,2520.83,3502.0,United States,0.16105082809822957,0.22373583303911806
Anna Snelling,dambase,Lost,2016-12-01,2017-03-06,0.0,marketing,1995.0,2173.98,2928.0,United States,0.0,0.0
Cassey Cress,Initech,Won,2016-12-01,2017-03-22,3463.0,telecommunications,1994.0,6395.05,20275.0,United States,0.17080147965474723,0.5415125761331029
Corliss Cosme,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,retail,1990.0,2520.83,3502.0,United States,0.14648772130211307,0.203504401328134
Corliss Cosme,Konex,Won,2016-12-01,2017-03-28,590.0,technolgy,1980.0,7708.38,13756.0,United States,0.042890375109043324,0.0765400771627761
Darcel Schlecht,Dontechi,Won,2016-12-01,2017-03-30,4511.0,software,1982.0,4618.0,10083.0,United States,0.4473866904691064,0.9768297964486791
Lajuana Vencill,Finhigh,Lost,2016-12-01,2017-03-02,0.0,finance,2006.0,1102.43,1759.0,United States,0.0,0.0
Niesha Huffines,Cancity,Won,2016-12-01,2017-03-26,546.0,retail,2001.0,718.62,2448.0,United States,0.22303921568627452,0.7597895967270601
Vicki Laflamme,Y-corporation,Won,2016-12-01,2017-03-05,46.0,employment,1983.0,2871.35,9561.0,United States,0.004811212216295367,0.016020338864993818
Darcel Schlecht,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,medical,1992.0,3922.42,6837.0,United States,0.7153722392862366,1.2469342905655183
Hayden Neloms,Golddex,Won,2016-12-02,2017-03-03,1040.0,finance,2008.0,52.5,165.0,United States,6.303030303030303,19.80952380952381
Hayden Neloms,Sonron,Won,2016-12-02,2017-03-04,1108.0,telecommunications,1999.0,1699.85,5108.0,United States,0.2169146436961629,0.6518222196076124
Hayden Neloms,Nam-zim,Won,2016-12-02,2017-03-04,59.0,services,1987.0,405.59,1179.0,Brazil,0.05004240882103478,0.14546709731502258
Jonathan Berthelot,Statholdings,Won,2016-12-02,2017-03-30,5406.0,employment,1997.0,291.27,586.0,United States,9.225255972696246,18.56009887733031
Kary Hendrixson,Cheers,Won,2016-12-02,2017-03-20,515.0,entertainment,1993.0,4269.9,6472.0,United States,0.07957354758961681,0.12061172392796085
Moses Frase,Treequote,Won,2016-12-02,2017-03-06,583.0,telecommunications,1988.0,5266.09,8595.0,United States,0.06783013379872019,0.11070832439248095
Versie Hillebrand,Funholding,Won,2016-12-02,2017-03-14,54.0,finance,1991.0,2819.5,7227.0,United States,0.007471980074719801,0.01915233197375421
Vicki Laflamme,Plusstrip,Won,2016-12-02,2017-03-27,60.0,entertainment,2002.0,349.81,315.0,United States,0.19047619047619047,0.17152168319945113
Darcel Schlecht,Dontechi,Lost,2016-12-03,2017-03-12,0.0,software,1982.0,4618.0,10083.0,United States,0.0,0.0
Darcel Schlecht,Funholding,Lost,2016-12-03,2017-03-19,0.0,finance,1991.0,2819.5,7227.0,United States,0.0,0.0
Darcel Schlecht,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,technolgy,2000.0,1223.72,2497.0,Norway,0.2066479775730877,0.42166508678455855
Darcel Schlecht,Rangreen,Won,2016-12-03,2017-03-22,4829.0,technolgy,1987.0,2938.67,8775.0,Panama,0.5503133903133903,1.6432603865013764
Moses Frase,Dontechi,Lost,2016-12-03,2017-03-17,0.0,software,1982.0,4618.0,10083.0,United States,0.0,0.0
Reed Clapper,Donquadtech,Won,2016-12-03,2017-03-02,950.0,technolgy,1992.0,1712.68,3194.0,United States,0.2974326862867877,0.5546862227619871
Vicki Laflamme,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,finance,1993.0,7537.24,20293.0,United States,0.0,0.0
Corliss Cosme,Initech,Won,2016-12-04,2017-03-20,513.0,telecommunications,1994.0,6395.05,20275.0,United States,0.025302096177558568,0.08021829383663927
Darcel Schlecht,Condax,Lost,2016-12-04,2017-03-09,0.0,medical,2017.0,4.54,9.0,United States,0.0,0.0
Darcel Schlecht,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,medical,1992.0,3922.42,6837.0,United States,0.8076641801959924,1.4078043656722126
Gladys Colclough,Cancity,Won,2016-12-04,2017-03-09,56.0,retail,2001.0,718.62,2448.0,United States,0.02287581699346405,0.07792713812585232
James Ascencio,Doncon,Won,2016-12-04,2017-03-08,5673.0,technolgy,2010.0,587.72,1501.0,United States,3.7794803464357094,9.652555638739535
Kami Bicknell,Xx-holding,Won,2016-12-04,2017-03-10,598.0,finance,1993.0,7537.24,20293.0,United States,0.029468289557975657,0.07933938683125388
Marty Freudenburg,Rangreen,Won,2016-12-04,2017-03-16,5787.0,technolgy,1987.0,2938.67,8775.0,Panama,0.6594871794871795,1.9692582018396076
Maureen Marcano,Singletechno,Won,2016-12-04,2017-03-08,1070.0,retail,1996.0,2214.94,5374.0,United States,0.19910681056940827,0.4830830631981002
Boris Faz,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,technolgy,1992.0,1712.68,3194.0,United States,1.1512210394489668,2.146927622206133
Cassey Cress,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,employment,1997.0,882.12,2769.0,United States,1.959191043698086,6.149956921960731
Donn Cantrell,Yearin,Won,2016-12-05,2017-03-23,3415.0,retail,2005.0,2261.05,3851.0,United States,0.8867826538561413,1.5103602308661903
Maureen Marcano,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,medical,2004.0,1618.89,3889.0,United States,0.22910773977886345,0.5503771102422029
Lajuana Vencill,Codehow,Won,2016-12-06,2017-03-12,609.0,software,1998.0,2714.9,2641.0,United States,0.23059447179098827,0.22431765442557736
Markita Hansen,Plusstrip,Won,2016-12-06,2017-03-16,54.0,entertainment,2002.0,349.81,315.0,United States,0.17142857142857143,0.154369514879506
Zane Levy,Labdrill,Won,2016-12-06,2017-03-09,1049.0,medical,1985.0,2741.37,9226.0,United States,0.11370041187947107,0.38265538763464985
Cassey Cress,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,retail,1990.0,2520.83,3502.0,United States,0.3289548829240434,0.4569923398245816
Daniell Hammack,Plussunin,Lost,2016-12-07,2017-03-20,0.0,retail,2003.0,1419.98,4018.0,United States,0.0,0.0
Daniell Hammack,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0,finance,1998.0,2022.14,5113.0,United States,0.9385879131625269,2.3732283620323025
Gladys Colclough,dambase,Won,2016-12-07,2017-03-12,51.0,marketing,1995.0,2173.98,2928.0,United States,0.017418032786885244,0.02345927745425441
Hayden Neloms,J-Texon,Won,2016-12-07,2017-03-03,3426.0,retail,1989.0,1388.67,3583.0,United States,0.9561819704158526,2.4671088163494566
Jonathan Berthelot,Rangreen,Won,2016-12-07,2017-03-11,51.0,technolgy,1987.0,2938.67,8775.0,Panama,0.005811965811965812,0.017354789751826506
Kami Bicknell,Finjob,Won,2016-12-07,2017-03-20,564.0,employment,1988.0,2059.9,3644.0,United States,0.15477497255762898,0.27379969901451523
Cecily Lampkin,Isdom,Won,2016-12-08,2017-03-01,5882.0,medical,2002.0,3178.24,4540.0,United States,1.2955947136563877,1.8507098268223925
Daniell Hammack,Stanredtax,Engaging,2016-12-08,,0.0,finance,1987.0,1698.2,3798.0,United States,0.0,0.0
Donn Cantrell,Plussunin,Won,2016-12-08,2017-03-20,5059.0,retail,2003.0,1419.98,4018.0,United States,1.2590841214534594,3.562726235580783
Kami Bicknell,Singletechno,Won,2016-12-08,2017-03-11,3388.0,retail,1996.0,2214.94,5374.0,United States,0.6304428730926684,1.5296125402945453
Markita Hansen,Zoomit,Won,2016-12-08,2017-03-10,5410.0,entertainment,1992.0,324.19,978.0,United States,5.531697341513293,16.68774484098831
Reed Clapper,Zathunicon,Won,2016-12-08,2017-03-28,978.0,retail,2010.0,71.12,144.0,United States,6.791666666666667,13.75140607424072
Vicki Laflamme,Scotfind,Won,2016-12-08,2017-03-26,54.0,software,1996.0,6354.87,16780.0,United States,0.0032181168057210966,0.008497420088845247
Anna Snelling,Betatech,Lost,2016-12-09,2017-03-22,0.0,medical,1986.0,647.18,1185.0,Kenya,0.0,0.0
Cassey Cress,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,software,2002.0,987.39,2253.0,United States,0.2436750998668442,0.5560113025248382
Corliss Cosme,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,marketing,1984.0,3027.46,9516.0,Jordan,0.10865910046237916,0.3415404332344606
Donn Cantrell,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0,finance,1993.0,646.1,883.0,United States,5.660249150622876,7.735644637053087
Donn Cantrell,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,employment,1997.0,882.12,2769.0,United States,1.2354640664499819,3.878157166825375
Kary Hendrixson,Doncon,Won,2016-12-09,2017-03-04,5425.0,technolgy,2010.0,587.72,1501.0,United States,3.614257161892072,9.230585993330157
Vicki Laflamme,Dalttechnology,Won,2016-12-09,2017-03-15,55.0,software,2013.0,98.79,96.0,United States,0.5729166666666666,0.5567365117926916
Violet Mclelland,Silis,Won,2016-12-09,2017-03-14,3558.0,medical,1994.0,2818.38,6290.0,United States,0.5656597774244833,1.2624273518829965
Cassey Cress,Plussunin,Engaging,2016-12-10,,0.0,retail,2003.0,1419.98,4018.0,United States,0.0,0.0
Kami Bicknell,Blackzim,Won,2016-12-10,2017-03-22,4839.0,retail,2009.0,497.11,1588.0,United States,3.047229219143577,9.73426404618696
Markita Hansen,Hottechi,Won,2016-12-10,2017-03-25,47.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0028486574943935995,0.005752486420460248
Maureen Marcano,Fasehatice,Won,2016-12-10,2017-03-24,1007.0,retail,1990.0,4968.91,7523.0,United States,0.13385617439851122,0.20266014075521593
Niesha Huffines,Inity,Won,2016-12-10,2017-03-24,48.0,marketing,1986.0,2403.58,8801.0,United States,0.0054539256902624705,0.01997021110177319
Versie Hillebrand,Treequote,Won,2016-12-10,2017-03-07,49.0,telecommunications,1988.0,5266.09,8595.0,United States,0.005700988947062245,0.009304816286846597
Violet Mclelland,Mathtouch,Won,2016-12-10,2017-03-18,504.0,marketing,1984.0,3027.46,9516.0,Jordan,0.05296343001261034,0.16647618795954364
Jonathan Berthelot,Finhigh,Won,2016-12-11,2017-03-21,543.0,finance,2006.0,1102.43,1759.0,United States,0.30869812393405344,0.49254827970936926
Kary Hendrixson,Fasehatice,Lost,2016-12-11,2017-03-18,0.0,retail,1990.0,4968.91,7523.0,United States,0.0,0.0
Kary Hendrixson,Fasehatice,Won,2016-12-11,2017-03-28,5149.0,retail,1990.0,4968.91,7523.0,United States,0.6844344011697461,1.0362433612200663
Lajuana Vencill,Treequote,Lost,2016-12-11,2017-03-09,0.0,telecommunications,1988.0,5266.09,8595.0,United States,0.0,0.0
